2328 	2900 	2
2328 	1210 	2
2620 	2900 	3
2620 	3050 	1
2620 	6020 	6
2768 	2900 	1
2768 	0158 	1
3001 	2900 	2
3083 	2900 	11
3787 	2900 	1
4118 	2900 	4
1843 	2900 	3
1843 	0392 	1
1936 	2900 	1
13 	2900 	9
13 	5840 	2
135 	2900 	33
285 	2900 	2
959 	2900 	1
1714 	2900 	2
1991 	2900 	5
1991 	5950 	1
3012 	2900 	6
3155 	2900 	11
1367 	6020 	4
1367 	3050 	1
1425 	0158 	1
3529 	2900 	4
3740 	0158 	2
3740 	2900 	3
3740 	6020 	4
583 	2900 	3
731 	2900 	12
771 	2900 	7
1050 	2900 	1
2624 	2900 	7
3229 	2900 	20
484 	5840 	2
484 	5810 	1
484 	2900 	5
484 	0392 	2
700 	2900 	3
3895 	2050 	2
3895 	1610 	7
4014 	2900 	1
4109 	2900 	3
349 	2900 	3
848 	0392 	7
848 	2900 	28
848 	7010 	1
1999 	0158 	1
2070 	2900 	1
2216 	5840 	2
2216 	2900 	9
2686 	2900 	2
119 	2900 	1
119 	5840 	2
764 	2900 	8
1142 	2900 	5
1189 	2900 	7
1672 	2900 	17
2245 	2900 	9
524 	2900 	2
1092 	2900 	6
1537 	2900 	2
2040 	0158 	4
2040 	2900 	22
2052 	0158 	4
2052 	2900 	8
2213 	0392 	8
2213 	2900 	15
2762 	2900 	1
2774 	2900 	5
3453 	0392 	1
3453 	2900 	4
72 	2900 	2
72 	0392 	1
352 	0158 	1
352 	2900 	20
500 	2900 	19
500 	0392 	2
664 	0392 	3
664 	2900 	20
1873 	2900 	2
2124 	2900 	10
2326 	2900 	4
2326 	0158 	1
2707 	2900 	81
2982 	2900 	4
3699 	2900 	25
4069 	4980 	2
4134 	2900 	23
4138 	4520 	1
4138 	0000 	1
609 	2900 	1
970 	2900 	2
3923 	0158 	2
3923 	2900 	15
1305 	6260 	2
2576 	2900 	2
2891 	2900 	5
2984 	2900 	22
3472 	0158 	2
3472 	2900 	4
3844 	1410 	1
3844 	2900 	1
3844 	1000 	5
3865 	2900 	4
2420 	2900 	9
2881 	2900 	17
2881 	0392 	3
3434 	2900 	22
4200 	2900 	24
1256 	0158 	1
1256 	2900 	13
1444 	0158 	4
1444 	2900 	5
1971 	2900 	10
2643 	2900 	2
2917 	2900 	3
3505 	7360 	1
3505 	7310 	4
3505 	6510 	1
3559 	4910 	2
3614 	3610 	1
1794 	2900 	4
2182 	2900 	8
3353 	2900 	11
1304 	2900 	12
1304 	0158 	1
1535 	2900 	1
2672 	2900 	14
2924 	2900 	11
2955 	4910 	2
2986 	2900 	3
3330 	2900 	4
3971 	2900 	19
4113 	2900 	6
427 	5840 	1
427 	5810 	2
427 	0392 	3
427 	2900 	10
883 	2900 	1
1313 	2900 	1
1908 	2900 	5
2520 	2900 	30
4028 	0392 	1
4028 	2900 	3
4028 	1210 	1
456 	2900 	1
1471 	2900 	2
1471 	5840 	1
2190 	2900 	3
2302 	2900 	58
2308 	0158 	1
2308 	2900 	3
2553 	0158 	1
2605 	2900 	13
3349 	2900 	10
3349 	0392 	5
483 	2900 	1
605 	2900 	2
605 	0158 	1
1776 	2900 	7
2496 	2900 	6
2688 	6020 	5
3551 	2900 	17
3759 	2900 	1
165 	2900 	1
393 	2900 	2
393 	0158 	1
1832 	2900 	3
2586 	2900 	7
2586 	0392 	3
3448 	2900 	6
97 	0158 	1
97 	2900 	1
636 	2900 	29
913 	2900 	9
2418 	2900 	10
2580 	2900 	88
2694 	2900 	4
2901 	2900 	2
3191 	2900 	2
3949 	2900 	15
3949 	0158 	1
1314 	2900 	5
1406 	2900 	16
3739 	2900 	2
3965 	2900 	5
3965 	0392 	1
122 	2900 	7
122 	0158 	9
2084 	2900 	2
2341 	2900 	4
3165 	2900 	16
1250 	2900 	10
1250 	0158 	1
1839 	2900 	2
2583 	8810 	1
2589 	2900 	8
2589 	5840 	1
2642 	2900 	28
3861 	0158 	4
3861 	2900 	1
4009 	2900 	59
4009 	6140 	2
1065 	2900 	8
1799 	4520 	2
2112 	2900 	10
3025 	2900 	6
3813 	2900 	17
3816 	0392 	4
3816 	2900 	10
1036 	2900 	3
1610 	2900 	1
2072 	6510 	2
2072 	5800 	1
2072 	3310 	1
2140 	2900 	9
3169 	0158 	1
3557 	0158 	9
3557 	2900 	30
3749 	2900 	15
3870 	0158 	1
3870 	2900 	1
4081 	5930 	4
4081 	5920 	35
4081 	5923 	3
4081 	5932 	3
1370 	2900 	2
2267 	2900 	24
3179 	2900 	5
3179 	5620 	1
3576 	2900 	2
3576 	1260 	1
3924 	4520 	4
3924 	4030 	4
3924 	0392 	1
3924 	5570 	1
3924 	5370 	1
3924 	2900 	4
607 	2900 	5
620 	2900 	13
1907 	2900 	22
2304 	6510 	4
2304 	5840 	2
2304 	5950 	1
2304 	6900 	2
2908 	2900 	17
3077 	2900 	4
3130 	2900 	6
3321 	0158 	4
3321 	6020 	4
3321 	2900 	3
3607 	2900 	6
4205 	2900 	4
1228 	2900 	18
1351 	2900 	1
1356 	2900 	21
2088 	2900 	12
2171 	2900 	83
2347 	2900 	25
3037 	0158 	2
3037 	2900 	3
3879 	2900 	8
4034 	5840 	1
4034 	2900 	1
786 	2900 	2
2368 	2900 	12
2551 	2900 	11
2652 	2900 	1
3390 	6042 	1
519 	2900 	11
519 	0392 	1
519 	1270 	1
1016 	2900 	7
1112 	2900 	1
1194 	2900 	1
1449 	2900 	13
2914 	2900 	1
2914 	6020 	2
2954 	2900 	6
241 	2900 	3
1040 	2900 	7
1718 	2900 	5
1855 	0392 	4
1855 	2900 	9
3073 	2900 	7
3110 	2900 	5
3673 	2900 	3
572 	2900 	2
572 	0392 	1
1082 	2900 	4
3455 	2900 	1
3455 	5840 	1
3463 	2900 	2
486 	2900 	5
486 	0158 	1
638 	2900 	7
2286 	2900 	3
2838 	3750 	2
2838 	3610 	1
3642 	2900 	15
671 	2900 	2
1261 	2900 	7
1571 	6510 	8
1571 	3310 	1
1571 	5510 	2
1571 	5512 	1
1571 	9999 	7
1583 	2900 	1
2991 	2900 	1
3323 	2900 	6
3998 	2900 	14
278 	5810 	1
278 	5840 	1
278 	2900 	3
278 	0392 	1
1533 	2900 	20
2875 	2900 	14
39 	2900 	14
545 	7110 	6
2483 	2900 	8
3212 	2900 	4
297 	2900 	1
544 	2900 	12
1254 	2900 	2
1254 	1460 	1
1280 	5510 	2
2355 	2900 	37
3104 	2900 	106
3245 	2900 	3
3595 	2900 	1
1620 	2900 	1
1699 	2900 	54
3296 	2900 	6
3995 	2900 	2
1848 	2900 	3
1997 	2900 	1
3287 	2900 	17
3751 	2900 	7
3751 	0392 	6
4000 	2900 	1
1720 	2900 	8
2005 	2900 	3
2654 	2900 	1
2654 	1980 	1
3496 	2900 	2
1719 	2900 	2
1888 	2900 	13
