1947 	d58 	182309 	6110
1947 	d58 	091725 	6110
1936 	d59 	115500 	0392
662 	d59 	104539 	2900
1948 	d59 	152437 	0392
1942 	d58 	170725 	3080
1948 	d59 	151007 	0392
1948 	d59 	181209 	2900
1958 	d64 	125929 	2900
1940 	d64 	160844 	2900
1933 	d66 	092856 	2900
1934 	d63 	182852 	0392
662 	d63 	183631 	2900
1941 	d63 	114922 	2900
1947 	d58 	020731 	0840
1947 	d58 	021259 	6110
1936 	d59 	150953 	0392
607 	d14 	100020 	2900
607 	d15 	140934 	2900
1936 	d60 	101437 	2900
1948 	d58 	152708 	2900
225 	d32 	150420 	2900
1944 	d32 	084742 	2900
1944 	d28 	105344 	2900
495 	d28 	180339 	2900
511 	d22 	165623 	2900
399 	d5 	150531 	2900
75 	d6 	123232 	2900
585 	d7 	113715 	0392
1965 	d61 	151018 	2900
1940 	d61 	174430 	2900
569 	d38 	135037 	2900
1951 	d40 	112936 	2900
18 	d69 	112315 	2900
1957 	d30 	162828 	2900
1918 	d82 	163505 	2900
1918 	d82 	163040 	2900
662 	d20 	120436 	2900
1944 	d28 	134139 	0392
662 	d29 	080245 	2900
75 	d5 	125504 	2900
449 	d6 	112537 	2900
601 	d6 	113130 	2900
520 	d10 	210001 	2900
565 	d11 	171414 	2900
585 	d8 	192017 	0392
571 	d9 	135735 	2900
399 	d10 	144848 	2900
608 	d10 	164824 	2900
571 	d11 	093308 	2900
608 	d13 	135813 	2900
1978 	d13 	185903 	2900
563 	d14 	162714 	2900
1978 	d13 	133231 	1270
449 	d14 	162640 	2900
654 	d17 	203111 	2900
384 	d17 	103844 	2900
399 	d19 	075522 	2900
565 	d19 	091916 	2900
533 	d19 	195743 	2900
3 	d19 	093255 	2900
399 	d22 	142423 	2900
598 	d22 	163729 	2900
662 	d22 	135007 	2900
654 	d24 	112442 	2900
533 	d25 	100023 	0392
130 	d25 	170329 	2900
1918 	d31 	191833 	2900
1968 	d32 	110306 	2900
1918 	d33 	165904 	2900
1959 	d34 	111215 	2900
1938 	d36 	180400 	2900
324 	d38 	135056 	2900
1964 	d38 	105802 	2900
147 	d38 	111309 	2900
147 	d39 	090454 	2900
569 	d40 	112734 	2900
1980 	d46 	144649 	1270
1936 	d58 	152657 	2900
1941 	d58 	153146 	2900
1936 	d61 	124640 	0392
1936 	d61 	105009 	2900
399 	d41 	093637 	2900
662 	d67 	155126 	2900
1970 	d35 	095841 	2900
662 	d48 	144011 	2900
130 	d34 	110527 	2900
24 	d34 	110509 	2900
1938 	d34 	143630 	2900
1918 	d34 	110958 	2900
250 	d22 	134952 	2900
588 	d24 	120121 	2900
1911 	d34 	143552 	2900
511 	d24 	101214 	2900
442 	d25 	100107 	0392
523 	d25 	145848 	2900
511 	d25 	132640 	2900
130 	d25 	184159 	2900
1957 	d27 	154308 	2900
603 	d1 	161651 	2900
1989 	d0 	152801 	2900
1959 	d34 	153754 	2900
1969 	d34 	111147 	2900
324 	d35 	115828 	2900
399 	d74 	141222 	2900
1948 	d62 	101322 	2900
655 	d26 	114704 	0392
130 	d27 	151548 	2900
316 	d27 	151602 	2900
569 	d41 	104315 	2900
569 	d41 	100039 	2900
1964 	d40 	112651 	2900
621 	d2 	110539 	2900
449 	d5 	120005 	2900
621 	d6 	112520 	2900
1937 	d36 	175931 	2900
662 	d39 	080115 	2900
662 	d39 	080135 	2900
399 	d39 	080922 	2900
1940 	d61 	151134 	2900
511 	d25 	125851 	2900
643 	d10 	163941 	2900
639 	d11 	125554 	2900
1937 	d40 	113001 	2900
662 	d57 	145909 	2900
384 	d17 	114032 	0392
510 	d24 	101305 	2900
598 	d24 	101418 	2900
598 	d24 	114356 	2900
384 	d18 	154317 	2900
3 	d18 	171025 	2900
384 	d18 	084015 	2900
614 	d19 	195815 	2900
1942 	d23 	210253 	2900
399 	d11 	155502 	2900
637 	d25 	165637 	0392
1957 	d32 	094847 	2900
24 	d33 	134742 	2900
399 	d0 	153134 	2900
1983 	d0 	153056 	2900
1954 	d1 	205858 	0392
1981 	d69 	111045 	2900
1955 	d69 	111025 	2900
130 	d33 	134818 	2900
412 	d19 	174304 	2900
510 	d20 	150733 	2900
250 	d26 	092633 	2900
442 	d27 	095028 	2900
