1956 	d11 	130327 	7227
588 	d11 	160606 	964316
643 	d11 	150704 	495545
1918 	d39 	092200 	7041
1942 	d64 	153221 	325439
1940 	d64 	172050 	325439
1955 	d65 	133938 	19971
598 	d25 	150957 	32414
1957 	d27 	164915 	319456
130 	d27 	165313 	32577
18 	d58 	185109 	333244
1936 	d58 	164028 	333477
1948 	d59 	115252 	326822
621 	d6 	125858 	53970
603 	d6 	130215 	53970
1958 	d63 	193319 	169571
1933 	d63 	191156 	325426
1933 	d63 	191339 	169558
1936 	d58 	144203 	167105
1936 	d58 	144228 	160450
1935 	d64 	141641 	7209
1959 	d31 	202108 	7215
1911 	d32 	152608 	326522
1960 	d67 	105457 	323355
1949 	d63 	182458 	325212
1935 	d63 	182625 	162850
1961 	d63 	204033 	6982
1958 	d63 	181931 	325212
1934 	d63 	182903 	130377
1940 	d63 	203436 	325212
1940 	d63 	204039 	6982
1948 	d58 	164215 	160450
1941 	d59 	115022 	333477
1947 	d58 	021153 	135523
1948 	d59 	114922 	333477
18 	d60 	151920 	329077
1962 	d31 	145946 	7202
1963 	d32 	193635 	7233
1964 	d32 	152622 	326522
225 	d32 	152815 	170135
1911 	d33 	181105 	329533
1937 	d33 	181242 	329533
130 	d26 	164005 	319238
511 	d24 	114845 	317587
510 	d24 	115424 	317587
520 	d7 	172248 	486431
585 	d7 	140745 	499977
75 	d4 	155528 	66260
1939 	d40 	103513 	327048
1965 	d61 	184759 	7239
1936 	d61 	120406 	326812
495 	d30 	172727 	32796
130 	d31 	125534 	325735
510 	d20 	161346 	313172
1942 	d60 	145826 	329077
1966 	d27 	181450 	319456
1966 	d27 	181510 	38952
1944 	d28 	120343 	321593
603 	d0 	174234 	72072
75 	d0 	174311 	454811
399 	d0 	174503 	7201
449 	d0 	174040 	325069
563 	d0 	174146 	201814
449 	d0 	174107 	7201
621 	d5 	140537 	466701
563 	d5 	140808 	466701
514 	d6 	153152 	499829
514 	d6 	153232 	499829
1956 	d10 	200714 	134021
654 	d10 	164517 	987051
477 	d10 	144328 	493885
607 	d11 	125513 	7227
369 	d15 	114910 	488979
565 	d16 	223307 	317908
607 	d17 	115333 	996515
384 	d17 	113312 	672961
662 	d20 	133424 	313172
598 	d20 	161725 	313172
250 	d20 	133657 	313172
511 	d21 	163739 	317587
1967 	d22 	163531 	19711
510 	d22 	181004 	317587
598 	d24 	125130 	6981
24 	d25 	153408 	7089
316 	d25 	153503 	7089
